"Latitud","Longitud","Rain","Station","Day","Month","year","cum_rain"
16.23194,-93.90444,16,"Arriaga",1,6,2019,16
16.23194,-93.90444,1.78,"Arriaga",2,6,2019,1.78
16.23194,-93.90444,5.59,"Arriaga",3,6,2019,5.59
16.23194,-93.90444,0,"Arriaga",4,6,2019,0
16.23194,-93.90444,0,"Arriaga",5,6,2019,0
16.23194,-93.90444,0,"Arriaga",6,6,2019,0
16.23194,-93.90444,0,"Arriaga",7,6,2019,0
16.23194,-93.90444,0.25,"Arriaga",8,6,2019,0.25
16.23194,-93.90444,17.27,"Arriaga",9,6,2019,17.27
16.23194,-93.90444,18.03,"Arriaga",10,6,2019,18.03
16.23194,-93.90444,0,"Arriaga",11,6,2019,0
16.23194,-93.90444,0,"Arriaga",12,6,2019,0
16.23194,-93.90444,0.51,"Arriaga",13,6,2019,0.51
16.23194,-93.90444,0,"Arriaga",14,6,2019,0
16.23194,-93.90444,0,"Arriaga",15,6,2019,0
16.23194,-93.90444,0,"Arriaga",16,6,2019,0
16.23194,-93.90444,0,"Arriaga",17,6,2019,0
16.23194,-93.90444,0,"Arriaga",18,6,2019,0
16.23194,-93.90444,0,"Arriaga",19,6,2019,0
16.23194,-93.90444,0,"Arriaga",20,6,2019,0
16.23194,-93.90444,0,"Arriaga",21,6,2019,0
16.23194,-93.90444,0,"Arriaga",22,6,2019,0
16.23194,-93.90444,0,"Arriaga",23,6,2019,0
16.23194,-93.90444,0,"Arriaga",24,6,2019,0
16.23194,-93.90444,0,"Arriaga",25,6,2019,0
16.23194,-93.90444,0,"Arriaga",26,6,2019,0
16.23194,-93.90444,0,"Arriaga",27,6,2019,0
16.23194,-93.90444,0,"Arriaga",28,6,2019,0
16.23194,-93.90444,0,"Arriaga",29,6,2019,0
16.23194,-93.90444,0,"Arriaga",30,6,2019,0
16.23194,-93.90444,0,"Arriaga",1,9,2019,0
16.23194,-93.90444,0,"Arriaga",2,9,2019,0
16.23194,-93.90444,0,"Arriaga",3,9,2019,0
16.23194,-93.90444,0,"Arriaga",4,9,2019,0
16.23194,-93.90444,0,"Arriaga",5,9,2019,0
16.23194,-93.90444,0,"Arriaga",6,9,2019,0
16.23194,-93.90444,0,"Arriaga",7,9,2019,0
16.23194,-93.90444,0,"Arriaga",8,9,2019,0
