Latitud,Longitud,Rain,Station,Day,Month,year,cum_rain
16.23194,-93.90444,0,Arriaga,1,6,2018,0
16.23194,-93.90444,0,Arriaga,2,6,2018,0
16.23194,-93.90444,0,Arriaga,3,6,2018,0
16.23194,-93.90444,0,Arriaga,4,6,2018,0
16.23194,-93.90444,0,Arriaga,5,6,2018,0
16.23194,-93.90444,0,Arriaga,6,6,2018,0
16.23194,-93.90444,0,Arriaga,7,6,2018,0
16.23194,-93.90444,0,Arriaga,8,6,2018,0
16.23194,-93.90444,0,Arriaga,9,6,2018,0
16.23194,-93.90444,0,Arriaga,10,6,2018,0
16.23194,-93.90444,0,Arriaga,11,6,2018,0
16.23194,-93.90444,0,Arriaga,12,6,2018,0
16.23194,-93.90444,0,Arriaga,13,6,2018,0
16.23194,-93.90444,0,Arriaga,14,6,2018,0
16.23194,-93.90444,0.51,Arriaga,15,6,2018,0.51
16.23194,-93.90444,0.76,Arriaga,16,6,2018,0.76
16.23194,-93.90444,23.88,Arriaga,17,6,2018,23.88
16.23194,-93.90444,0,Arriaga,18,6,2018,0
16.23194,-93.90444,0,Arriaga,19,6,2018,0
16.23194,-93.90444,0.25,Arriaga,20,6,2018,0.25
16.23194,-93.90444,0,Arriaga,21,6,2018,0
16.23194,-93.90444,0.51,Arriaga,22,6,2018,0.51
16.23194,-93.90444,0,Arriaga,23,6,2018,0
16.23194,-93.90444,0,Arriaga,24,6,2018,0
16.23194,-93.90444,0.76,Arriaga,25,6,2018,0.76
16.23194,-93.90444,17.53,Arriaga,26,6,2018,17.53
16.23194,-93.90444,12.95,Arriaga,27,6,2018,12.95
16.23194,-93.90444,2.79,Arriaga,28,6,2018,2.79
16.23194,-93.90444,0.25,Arriaga,29,6,2018,0.25
16.23194,-93.90444,0,Arriaga,30,6,2018,0
16.23194,-93.90444,9.91,Arriaga,1,9,2018,9.91
16.23194,-93.90444,0.25,Arriaga,2,9,2018,0.25
16.23194,-93.90444,4.57,Arriaga,3,9,2018,4.57
16.23194,-93.90444,0,Arriaga,4,9,2018,0
16.23194,-93.90444,0.76,Arriaga,5,9,2018,0.76
16.23194,-93.90444,7.87,Arriaga,6,9,2018,7.87
16.23194,-93.90444,38.86,Arriaga,7,9,2018,38.86
16.23194,-93.90444,24.89,Arriaga,8,9,2018,24.89
16.23194,-93.90444,40.64,Arriaga,9,9,2018,40.64
16.23194,-93.90444,6.6,Arriaga,10,9,2018,6.6
16.23194,-93.90444,6.6,Arriaga,11,9,2018,6.6
16.23194,-93.90444,0,Arriaga,12,9,2018,0
16.23194,-93.90444,0,Arriaga,13,9,2018,0
16.23194,-93.90444,0,Arriaga,14,9,2018,0
16.23194,-93.90444,0,Arriaga,15,9,2018,0
16.23194,-93.90444,24.89,Arriaga,16,9,2018,24.89
16.23194,-93.90444,21.08,Arriaga,17,9,2018,21.08
16.23194,-93.90444,1.78,Arriaga,18,9,2018,1.78
16.23194,-93.90444,12.7,Arriaga,19,9,2018,12.7
16.23194,-93.90444,0.25,Arriaga,20,9,2018,0.25
16.23194,-93.90444,0,Arriaga,21,9,2018,0
16.23194,-93.90444,0.25,Arriaga,22,9,2018,0.25
16.23194,-93.90444,0,Arriaga,23,9,2018,0
16.23194,-93.90444,1.02,Arriaga,24,9,2018,1.02
16.23194,-93.90444,0,Arriaga,25,9,2018,0
16.23194,-93.90444,7.37,Arriaga,26,9,2018,7.37
16.23194,-93.90444,0,Arriaga,27,9,2018,0
16.23194,-93.90444,0.51,Arriaga,28,9,2018,0.51
16.23194,-93.90444,29.46,Arriaga,29,9,2018,29.46
16.23194,-93.90444,0,Arriaga,30,9,2018,0
16.23194,-93.90444,1.27,Arriaga,1,7,2018,1.27
16.23194,-93.90444,2.03,Arriaga,2,7,2018,2.03
16.23194,-93.90444,0,Arriaga,3,7,2018,0
16.23194,-93.90444,0,Arriaga,4,7,2018,0
16.23194,-93.90444,0,Arriaga,5,7,2018,0
16.23194,-93.90444,0,Arriaga,6,7,2018,0
16.23194,-93.90444,0,Arriaga,7,7,2018,0
16.23194,-93.90444,0,Arriaga,8,7,2018,0
16.23194,-93.90444,35.31,Arriaga,9,7,2018,35.31
16.23194,-93.90444,0.76,Arriaga,10,7,2018,0.76
16.23194,-93.90444,33.02,Arriaga,11,7,2018,33.02
